pid,jobs_completed_early,early_feedback_density,mean_gap_min,jobs_started_early,session_len_sum_early,session_len_max_early,jobs_exited_early,credit_mean_early,level_prog_mean_early,session_len_at_completion_mean,campaign_prog_mean,exit_rate_early,retention_7d,retention_14d,retention_30d,early_feedback_density_log
p10201,1,0.0166666666666667,,2,10,9,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p10203,1,0.0166666666666667,,2,12,11,1,150,0,10,0.02631579,0.5,0,0,0,0.0165293019512106
p10205,1,0.0166666666666667,,2,2,1,1,150,1,8,0.02631579,0.5,1,1,1,0.0165293019512106
p10206,1,0.0166666666666667,,2,9,9,1,150,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p10207,3,0.05,22.1166666666667,4,116,57,3,390,0,37.3333333333333,0.0526315783333333,0.75,1,0,0,0.048790164169432
p10208,1,0.0166666666666667,,2,19,17,1,150,0,15,0.02631579,0.5,1,1,1,0.0165293019512106
p10209,1,0.0166666666666667,,2,17,14,1,10,0,13,0.02631579,0.5,1,1,1,0.0165293019512106
p1021,0,0,,1,2,2,0,,,,,0,0,0,0,0
p10210,1,0.0166666666666667,,1,2,2,1,150,1,7,0.02631579,1,1,1,1,0.0165293019512106
p10211,1,0.0166666666666667,,2,18,14,1,150,0,13,0.02631579,0.5,1,1,1,0.0165293019512106
p10212,1,0.0166666666666667,,2,8,6,2,150,0,6,0.02631579,1,0,0,0,0.0165293019512106
p10213,2,0.0333333333333333,39.9666666666667,2,10,8,2,375,0.5,28,0.039473685,1,1,1,1,0.0327898228229909
p10214,1,0.0166666666666667,,2,13,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p10215,1,0.0166666666666667,,2,5,5,1,150,0,4.9225,0.02631579,0.5,0,0,0,0.0165293019512106
p10216,1,0.0166666666666667,,2,11,9,2,119,0.19267726,8,0.02631579,1,0,0,0,0.0165293019512106
p10217,1,0.0166666666666667,,2,10,9,1,150,0,8,0.02631579,0.5,1,1,1,0.0165293019512106
p10218,1,0.0166666666666667,,2,10,8,2,111,0.13261205,8,0.02631579,1,0,0,0,0.0165293019512106
p10219,1,0.0166666666666667,,2,11,9,2,217,0.154782175,8,0.02631579,1,1,1,1,0.0165293019512106
p1022,1,0.0166666666666667,,2,7,7,2,156.5,0.0101620125,7,0.02631579,1,0,0,0,0.0165293019512106
p10220,1,0.0166666666666667,,2,12,10,1,60,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p10222,0,0,,1,1,1,1,7,0.20903447,,,1,0,0,0,0
p10223,1,0.0166666666666667,,2,11,10,2,177,0.14129603,9,0.02631579,1,1,1,1,0.0165293019512106
p10224,2,0.0333333333333333,49.5333333333333,3,68,59,2,337.5,0,32.5,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p10225,1,0.0166666666666667,,2,8,8,1,150,0,6,0.02631579,0.5,1,1,0,0.0165293019512106
p10226,1,0.0166666666666667,,2,10,8,2,228,0.264796735,7,0.02631579,1,0,0,0,0.0165293019512106
p10227,2,0.0333333333333333,32.9666666666667,4,80,38,4,400,0.0370255325,21.5,0.039473685,1,0,0,0,0.0327898228229909
p10228,9,0.15,1.77291666666667,6,59,14,6,2265.27755555556,0.125,7.88888888888889,0.128654970555556,1,0,0,0,0.139761942375159
p10230,2,0.0333333333333333,13.95,3,26,18,3,237,0.0812616666666667,14,0.039473685,1,1,1,1,0.0327898228229909
p10231,3,0.05,24.1166666666667,4,124,58,3,475,0,40.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
